Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,159.81,160.1,157.87,159.54,2640800,139.63,0.0,139.63,139.63
2016-01-05,2016,1,5,Tuesday,01,2016-01,160.17,161.23,159.45,159.93,2127700,139.97,0.0024442065005882974,139.8,139.8
2016-01-06,2016,1,6,Wednesday,01,2016-01,158.36,159.8,157.63,158.45,2033400,138.67,-0.00925391344844817,139.42333333333332,139.42333333333332
2016-01-07,2016,1,7,Thursday,01,2016-01,154.85,157.06,153.55,154.82,3826000,135.5,-0.022908643810839235,138.4425,138.4425
2016-01-08,2016,1,8,Friday,01,2016-01,155.28,155.3,151.81,152.11,3156200,133.12,-0.01750503552854521,137.378,137.378
2016-01-11,2016,1,11,Monday,02,2016-02,152.3,155.96,152.12,154.72,2164500,135.41,0.017158886298852538,137.04999999999998,137.04999999999998
2016-01-12,2016,1,12,Tuesday,02,2016-02,155.71,156.43,154.94,156.06,2215600,136.58,0.008660875095685139,136.98285714285714,136.98285714285714
2016-01-13,2016,1,13,Wednesday,02,2016-02,155.97,156.02,151.88,152.12,2157500,133.13,-0.0252468461970643,136.50125,136.50125
2016-01-14,2016,1,14,Thursday,02,2016-02,151.96,154.16,151.33,153.18,2281500,134.06,0.006968454220350306,136.23,136.23
2016-01-15,2016,1,15,Friday,02,2016-02,149.29,151.52,148.25,150.39,2975400,131.62,-0.01821420709747079,135.769,135.769
2016-01-19,2016,1,19,Tuesday,03,2016-03,151.79,152.0,149.58,150.47,2242600,131.69,0.0005322400559160112,135.39818181818183,135.39818181818183
2016-01-20,2016,1,20,Wednesday,03,2016-03,148.46,150.0,144.91,148.82,3796800,130.25,-0.010966006434465658,134.96916666666667,134.96916666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,148.97,151.24,148.11,150.38,2211800,131.61,0.010482842939413484,134.71076923076924,134.71076923076924
2016-01-22,2016,1,22,Friday,03,2016-03,152.18,153.71,151.65,153.69,2544100,134.51,0.022010875992262813,134.69642857142858,134.69642857142858
2016-01-25,2016,1,25,Monday,04,2016-04,154.07,154.48,150.55,150.78,1820600,131.96,-0.01893424737254379,134.14857142857142,134.514
2016-01-26,2016,1,26,Tuesday,04,2016-04,150.78,151.72,148.3,148.5,2828600,129.97,-0.01512121975287739,133.43428571428572,134.23
2016-01-27,2016,1,27,Wednesday,04,2016-04,149.29,149.59,146.72,147.73,2189500,129.29,-0.005185733169731144,132.7642857142857,133.93941176470588
2016-01-28,2016,1,28,Thursday,04,2016-04,148.55,149.97,147.81,149.59,2076100,130.92,0.01259105432893537,132.43714285714285,133.77166666666665
2016-01-29,2016,1,29,Friday,04,2016-04,149.5,151.62,146.91,151.12,3221300,132.26,0.01022771178069748,132.3757142857143,133.6921052631579
