Rank,Title,Sales,Series,Platform,RelDate,RelMonth,GameDev,GamePub,Movie
1,Minecraft,238000000,Minecraft,Multi-platform,11/18/2011,November,Mojang Studios,Xbox Game Studios,Yes
2,Grand Theft Auto V,170000000,Grand Theft Auto,Multi-platform,09/17/2013,September,Rockstar North,Rockstar Games,No
3,Tetris (EA),100000000,Tetris,Multi-platform,09/12/2006,September,EA Mobile,Electronic Arts,Yes
4,Wii Sports,82900000,Wii,Wii,11/19/2006,November,Nintendo EAD,Nintendo,No
5,PUBG: Battlegrounds,75000000,PUBG Universe,Multi-platform,12/20/2017,December,PUBG Corporation,PUBG Corporation,Rumored
6,Super Mario Bros.,58000000,Super Mario,Multi-platform,09/13/1985,September,Nintendo R&D4,Nintendo,Yes
7,Mario Kart 8 / Deluxe,56870000,Mario Kart,Wii U / Switch,05/29/2014,May,Nintendo EAD,Nintendo,Yes
8,Pokémon Red / Green / Blue / Yellow,47520000,Pokémon,Game Boy / Color,02/27/1996,February,Game Freak,Nintendo,Yes
9,Red Dead Redemption 2,46000000,Red Dead,Multi-platform,10/26/2018,October,Rockstar Studios,Rockstar Games,Rumored
10,Terraria,44500000,None,Multi-platform[c],05/16/2011,May,Re-Logic,Re-Logic / 505 Games,No
11,Wii Fit / Plus,43800000,Wii,Wii,12/01/2007,December,Nintendo EAD,Nintendo,No
12,Tetris (1989),43000000,Tetris,Game Boy / NES,06/14/1989,June,Nintendo R&D1,Nintendo,Yes
13,Pac-Man,42071635,Pac-Man,Multi-platform,05/22/1980,May,Namco,Namco,Rumored
14,Animal Crossing: New Horizons,40170000,Animal Crossing,Nintendo Switch,03/20/2020,March,Nintendo EPD,Nintendo,Yes
15,The Witcher 3 / Hearts of Stone / Blood and Wine,40000000,The Witcher,Multi-platform,05/19/2015,May,CD Projekt Red,CD Projekt,Yes
16,Mario Kart Wii,37380000,Mario Kart,Wii,04/10/2008,April,Nintendo EAD,Nintendo,Yes
17,Wii Sports Resort,33140000,Wii,Wii,06/25/2009,June,Nintendo EAD,Nintendo,No
18,New Super Mario Bros.,30800000,Super Mario,Nintendo DS,05/15/2006,May,Nintendo EAD,Nintendo,Yes
19,New Super Mario Bros. Wii,30320000,Super Mario,Wii,11/11/2009,November,Nintendo EAD,Nintendo,Yes
20,Call of Duty: Modern Warfare,30000000,Call of Duty,Multi-platform,10/25/2019,October,Infinity Ward,Activision,Rumored
21,Diablo III / Reaper of Souls,30000000,Diablo,Multi-platform,05/16/2012,May,Blizzard Entertainment,Blizzard Entertainment,Rumored
22,Human: Fall Flat,30000000,None,Multi-platform,07/22/2016,July,No Brakes Games,Curve Digital,Rumored
23,The Elder Scrolls V: Skyrim,30000000,The Elder Scrolls,Multi-platform,11/11/2011,November,Bethesda Game Studios,Bethesda Softworks,Rumored
26,Pokémon Gold / Silver / Crystal,30000000,Pokémon,Game Boy Color,11/21/1999,November,Game Freak,Nintendo,Yes
24,Super Smash Bros. Ultimate,29530000,Super Smash Bros.,Nintendo Switch,12/07/2018,December,Bandai Namco Studios / Sora Ltd.,Nintendo,Yes
25,The Legend of Zelda: Breath of the Wild,29490000,The Legend of Zelda,Wii U / Switch,03/03/2017,March,Nintendo EPD,Nintendo,Rumored
27,Duck Hunt,28300000,None,NES,04/21/1984,April,Nintendo R&D1,Nintendo,No
28,Wii Play,28020000,Wii,Wii,12/02/2006,December,Nintendo EAD,Nintendo,No
29,The Walking Dead,28000000,The Walking Dead,Multi-platform,04/24/2012,April,Telltale Games,Telltale Games,Yes
30,Grand Theft Auto: San Andreas,27500000,Grand Theft Auto,Multi-platform,10/26/2004,October,Rockstar North,Rockstar Games,No
34,Borderlands 2,27000000,Borderlands,Multi-platform,09/18/2012,September,Gearbox Software,2K Games,Yes
31,Super Mario World,26662500,Super Mario,Multi-platform,11/21/1990,November,Nintendo EAD,Nintendo,Yes
32,Call of Duty: Modern Warfare 3,26500000,Call of Duty,Multi-platform,11/08/2011,November,Infinity Ward / Sledgehammer,Activision,Rumored
33,Call of Duty: Black Ops,26200000,Call of Duty,Multi-platform,11/09/2010,November,Treyarch,Activision,Rumored
36,Pokémon Sword / Shield,25680000,Pokémon,Nintendo Switch,11/15/2019,November,Game Freak,Nintendo The Pokémon Company,Yes
35,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,25370000,Pokémon,Nintendo 3DS,11/18/2016,November,Game Freak,Nintendo The Pokémon Company,Yes
37,Grand Theft Auto IV,25000000,Grand Theft Auto,Multi-platform,04/29/2008,April,Rockstar North,Rockstar Games,No
38,Pokémon Diamond / Pearl / Platinum,24730000,Pokémon,Nintendo DS,09/28/2006,September,Game Freak,Nintendo The Pokémon Company,Yes
39,Super Mario Bros. 3,24430000,Super Mario,Multi-platform,10/23/1988,October,Nintendo EAD,Nintendo,Yes
40,Super Mario Odyssey,24400000,Super Mario,Nintendo Switch,10/27/2017,October,Nintendo EPD,Nintendo,Yes
41,Call of Duty: Black Ops II,24200000,Call of Duty,Multi-platform,11/12/2012,November,Treyarch,Activision,Rumored
42,FIFA 18,24000000,FIFA,Multi-platform,09/29/2017,September,EA Vancouver,EA Sports,No
